iter	Passed	Remaining
0	124	252821
1	225	229168
2	311	211118
3	414	211046
4	495	201515
5	596	202017
6	701	203723
7	801	203547
8	893	201590
9	990	200937
10	1091	201224
11	1247	210689
12	1365	212764
13	1552	224617
14	1708	230580
15	1856	234732
16	1932	229905
17	2027	227674
18	2110	224376
19	2196	221774
20	2282	219333
21	2378	218022
22	2437	213693
23	2521	211718
24	2608	210120
25	2699	209036
26	2798	208569
27	2898	208168
28	2976	206316
29	3067	205428
30	3154	204329
31	3256	204272
32	3320	201871
33	3408	201005
34	3476	199055
35	3586	199552
36	3686	199444
37	3774	198768
38	3869	198420
39	3956	197703
40	4040	196886
41	4111	195515
42	4204	195175
43	4271	193672
44	4381	194166
45	4465	193451
46	4555	193067
47	4644	192666
48	4730	192126
49	4826	191991
50	4908	191350
51	4990	190675
52	5064	189777
53	5148	189256
54	5229	188638
55	5314	188196
56	5429	188793
57	5529	188873
58	5629	188913
59	5728	188940
60	5809	188379
61	5891	187852
62	5982	187652
63	6097	188177
64	6182	187764
65	6286	187943
66	6375	187636
67	6463	187334
68	6557	187207
69	6617	186135
70	6699	185687
71	6799	185752
72	6896	185743
73	6996	185797
74	7089	185661
75	7184	185572
76	7277	185445
77	7376	185453
78	7463	185173
79	7531	184434
80	7625	184333
81	7720	184256
82	7803	183903
83	7893	183720
84	7974	183311
85	8048	182776
86	8143	182718
87	8214	182120
88	8304	181948
89	8375	181378
90	8462	181153
91	8542	180791
92	8625	180478
93	8717	180379
94	8791	179892
95	8873	179588
96	8941	179010
97	9030	178865
98	9088	178106
99	9165	177711
100	9228	177073
101	9299	176591
102	9391	176530
103	9477	176345
104	9574	176344
105	9658	176131
106	9761	176255
107	9847	176074
108	9915	175576
109	9988	175154
110	10037	174343
111	10134	174360
112	10238	174513
113	10321	174294
114	10385	173758
115	10480	173737
116	10601	174159
117	10686	173973
118	10774	173845
119	10872	173863
120	10959	173721
121	11041	173496
122	11134	173442
123	11197	172922
124	11274	172632
125	11369	172619
126	11452	172412
127	11537	172247
128	11631	172216
129	11719	172092
130	11783	171622
131	11881	171645
132	11956	171347
133	12061	171477
134	12162	171531
135	12239	171268
136	12326	171131
137	12440	171379
138	12518	171111
139	12614	171102
140	12723	171276
141	12854	171719
142	12920	171313
143	13020	171347
144	13111	171268
145	13207	171251
146	13333	171610
147	13420	171476
148	13497	171214
149	13592	171175
150	13678	171026
151	13762	170858
152	13837	170572
153	13921	170396
154	13985	169995
155	14078	169931
156	14184	170034
157	14257	169730
158	14328	169417
159	14412	169252
160	14511	169276
161	14607	169252
162	14720	169419
163	14824	169488
164	14893	169155
165	14971	168921
166	15069	168921
167	15199	169272
168	15290	169190
169	15374	169027
170	15479	169094
171	15555	168846
172	15641	168714
173	15723	168535
174	15819	168503
175	15906	168375
176	15993	168247
177	16065	167966
178	16120	167511
179	16211	167426
180	16301	167342
181	16392	167255
182	16490	167252
183	16562	166972
184	16631	166673
185	16708	166459
186	16802	166408
187	16865	166057
188	16935	165771
189	17030	165731
190	17116	165610
191	17198	165449
192	17282	165305
193	17391	165399
194	17450	165017
195	17514	164691
196	17608	164641
197	17683	164417
198	17790	164491
199	17878	164395
200	17953	164168
201	18053	164177
202	18137	164037
203	18193	163653
204	18275	163496
205	18372	163480
206	18458	163365
207	18550	163294
208	18631	163137
209	18700	162870
210	18801	162889
211	18869	162613
212	18956	162508
213	19004	162071
214	19084	161910
215	19128	161443
216	19231	161469
217	19333	161493
218	19426	161446
219	19508	161296
220	19590	161159
221	19678	161061
222	19753	160862
223	19824	160629
224	19909	160518
225	19997	160421
226	20069	160205
227	20159	160122
228	20235	159937
229	20321	159836
230	20378	159497
231	20452	159300
232	20540	159213
233	20605	158940
234	20669	158671
235	20736	158420
236	20828	158363
237	20918	158291
238	21033	158410
239	21119	158305
240	21191	158102
241	21255	157838
242	21354	157828
243	21456	157845
244	21523	157604
245	21621	157593
246	21711	157520
247	21811	157515
248	21903	157460
249	21984	157318
250	22054	157108
251	22155	157113
252	22241	157006
253	22315	156822
254	22408	156771
255	22483	156593
256	22564	156456
257	22659	156420
258	22733	156238
259	22830	156212
260	22913	156090
261	22990	155928
262	23101	156000
263	23150	155654
264	23233	155532
265	23315	155410
266	23412	155382
267	23480	155163
268	23550	154959
269	23627	154802
270	23685	154525
271	23777	154468
272	23871	154419
273	23918	154070
274	23993	153910
275	24086	153856
276	24184	153840
277	24271	153750
278	24371	153740
279	24460	153661
280	24564	153682
281	24621	153404
282	24699	153256
283	24800	153256
284	24862	153014
285	24928	152795
286	25015	152709
287	25099	152600
288	25189	152534
289	25261	152354
290	25344	152239
