,VIDEO TITLE,VIEWS,LAST STREAMED,VIDEO LINK,LIKES,ABOUT,COMMENTS
0,Government Of India | Directorate Of Enforcement Recruitment 2025 | Scientist Technical Assistant,1.1K views,2 days ago,https://www.youtube.com/watch?v=vcTubUEcAow,22,"The Directorate of Enforcement (ED) under the Government of India has announced its 2025 recruitment drive for Scientist and Technical Assistant positions. This is an excellent opportunity for engineering and science graduates to secure a prestigious government job with competitive salaries, job stability, and additional benefits. Selected candidates will play a crucial role in technical investigations, forensic analysis, and enforcement operations. In this session, we will cover eligibility criteria, selection process, salary details, job responsibilities, and how to apply for the Directorate of Enforcement Recruitment 2025

RECOMMENDED CHANNELS FOR YOU:
GeeksForGeeks GATE English - ",14
1,Dynamic Programming Explained in 6 Minutes,1.8K views,4 days ago,https://www.youtube.com/watch?v=ByIhiLNbahY,85,"Struggling with Dynamic Programming? 🤯 Don’t worry! In just 6 minutes, we’ll break it down for you in the simplest way possible. Learn the key concepts, approach, and tricks to master DP efficiently. Whether you're preparing for coding interviews or competitive programming, this quick guide will help you get started! 🚀

📌 What You’ll Learn:
✅ What is Dynamic Programming?
✅ Key principles: Optimal Substructure & Overlapping Subproblems
✅ How to approach DP problems step-by-step
✅ Top-down vs Bottom-up approach
✅ Real-world examples for better understanding

🔹 Perfect for beginners & intermediate coders looking to ace DP problems!

Welcome to the Three 90 Challenge by GeeksforGeeks!
✅ Complete 90% of your course in 90 days
✅ Get 90% of your fee refunded!

Yes, you read that right! 🌟 Over ₹5 CRORE in refunds processed already, and YOURS could be next.

Start the challenge now: ",11
2,I went to IIT Delhi to meet Gate AIR 20 | Crack GATE with GeeksforGeeks!,1.2K views,6 days ago,https://www.youtube.com/watch?v=ZSan8vrbWfw,29,"Cracking GATE with an AIR 20 is no easy feat! 🚀 Join us as we dive into the inspiring journey of a top ranker who made it to IIT Delhi. From study strategies to time management and expert tips, get insights that can help YOU ace GATE!

Explore GATE Exam programs and register today for free counselling: ",2
3,Struggling with GATE? We can help boost your rank!,731 views,6 days ago,https://www.youtube.com/watch?v=xgHQyBP9gDM,18,"Crack GATE exam with expert guidance!
Want structured learning & live mentorship? Join the GeeksforGeeks GATE programs for expert guidance & exam-focused prep!

📢 Like, share & subscribe for more GATE tips! Got questions? Drop them in the comments! 💬😊  

Explore GATE Programs for 2026/2027/2028 batches: ",3
4,What do Software Engineers Really Do? | Are software engineering jobs really for you?,7.6K views,10 days ago,https://www.youtube.com/watch?v=rg7B6QH7RZA,316,"What do software engineers really do? Is it just coding, or is there more to the job? 
In this video, we break down the reality of software engineering job. 

We also discuss the lifestyle of a software engineer, How much creative freedom do they actually have? And how many hours do they really work? etc. 

Watch the full video for reality checks and insights on software engineering jobs!
-----------
Welcome to the Three 90 Challenge by GeeksforGeeks!

✅ Complete 90% of your course in 90 days
✅ Get 90% of your fee refunded!

Yes, you read that right! 🌟 Over ₹5 CRORE in refunds processed already, and YOURS could be next.

Start the challenge now: ",22
5,Get 55+ Marks Easily in GATE CS 2026 using this strategy,33K views,12 days ago,https://www.youtube.com/watch?v=hc4_PWFFJnk,1.1K,"Are you preparing for GATE CS and aiming to score 55+ marks? 🚀 Follow these proven strategies to ace the exam effortlessly:

1️⃣ Understand the Syllabus
🔍 Go through the entire syllabus and divide topics into high, medium, and low priority based on their weightage. Focus more on subjects like:

Data Structures and Algorithms
Operating Systems
DBMS
Computer Networks
Discrete Mathematics
Aptitude
2️⃣ Create a Study Plan
📅 Allocate at least 3–4 hours daily for preparation. Include time for:

Learning core concepts
Solving previous year questions
Attempting mock tests
3️⃣ Strengthen Basics
✔️ Build a strong foundation in subjects like Programming, Logic, and Mathematics. Watch GATE-specific lectures or join courses for conceptual clarity.

4️⃣ Solve Previous Year Papers
📜 Practice at least 10 years of GATE papers to understand the exam pattern, frequently asked topics, and difficulty level.

5️⃣ Focus on Accuracy
📝 Avoid negative marking by practicing error-free question solving. Work on time management by taking mock tests and analyzing performance regularly.

6️⃣ Revise Regularly
📖 Dedicate the last 30 days to revision. Use formula sheets and short notes for quick reviews.

7️⃣ Practice Aptitude
✅ Don't ignore General Aptitude, which can boost your score easily with minimal effort.

Scoring 55+ marks in GATE is achievable with a smart preparation plan, consistent effort, and regular practice. 💪 Start today and achieve your dream of securing a seat in a top IIT, NIT, or a PSU!

Welcome to the Three 90 Challenge by GeeksforGeeks!

✅ Complete 90% of your course in 90 days
✅ Get 90% of your fee refunded!

Yes, you read that right! 🌟 Over ₹5 CRORE in refunds processed already, and YOURS could be next.

Start the challenge now: ",119
6,What is Machine Learning? | Lecture 1 | Free Video,1.4K views,2 weeks ago,https://www.youtube.com/watch?v=1PtHLVsG_8s,42,"Welcome to the first video of GeeksforGeeks' comprehensive Machine Learning Youtube Course! 🚀

In this video, we’re laying the foundation for your ML journey by introducing the core concepts, practical applications, and the exciting possibilities of Machine Learning. This session is perfect for beginners looking to dip their toes into the world of AI and data-driven decision-making!

💡 What to Expect in This Free Video:",1
7,A Day in the Life at IIT: Struggles & Successes 🎓 || Meet Apoorva GATE AIR 20,6.8K views,2 weeks ago,https://www.youtube.com/watch?v=Ioj_XA-_jIY,171,Watch Full Video: - ,5
8,DSA was hard until i learned these 10 Patterns | Master DSA Now,13K views,2 weeks ago,https://www.youtube.com/watch?v=aWjFPloGYmg,942,"These 10 Patterns Are All You Need to Solve DSA Questions

This video explores the 10 most essential problem-solving techniques that form the foundation of data structures and algorithms. Covering a wide range of approaches, it highlights how mastering these core strategies can simplify even the most complex coding challenges.

Through concise explanations and practical examples, you’ll gain a clearer understanding of the common structures and methods used in solving DSA questions. Whether you’re preparing for interviews or improving your problem-solving skills, this video provides the insights needed to tackle various scenarios efficiently.

Welcome to the Three 90 Challenge by GeeksforGeeks!

✅ Complete 90% of your course in 90 days
✅ Get 90% of your fee refunded!

Yes, you read that right! 🌟 Over ₹5 CRORE in refunds processed already, and YOURS could be next.

Start the challenge now: ",12
9,You're missing out by not starting the Three 90 Challenge!,440K views,3 weeks ago,https://www.youtube.com/watch?v=Tcmo0fSCAJQ,95,"The best version of you is just 90 days away💪

In the GfG Three 90 Challenge, we bring you the ultimate preparation toolkit to ace your coding journey in just 90 days. 🚀

How?
1️⃣ Enroll: Choose any GeeksforGeeks course.
2️⃣ Complete: Finish 90% of it in 90 days.
3️⃣ Win: Get 90% of your money back!

How will we help you complete the Three 90 Challenge?
✅ Affordable Access: Quality learning without breaking the bank.
✅ Daily Practice Problems: Sharpen your skills with regular challenges.
✅ Weekly Assessments: Get detailed feedback to track improvement.
✅ 24/7 Mentor Support: Resolve doubts anytime, anywhere.

No fluff, no shortcuts - just a smart and focused way to achieve your coding goals! 💻

Start your Three 90 Challenge today and code your way to success. 🚀: ",3
